feature,coefficient,absolute_coefficient,direction
PULocationID_234,0.36762285631489167,0.36762285631489167,Higher long-trip risk
DOLocationID_232,-0.3597504357897411,0.3597504357897411,Lower long-trip risk
PULocationID_244,-0.34890615401223485,0.34890615401223485,Lower long-trip risk
PULocationID_249,0.3387431312914334,0.3387431312914334,Higher long-trip risk
DOLocationID_161,0.3383669391309992,0.3383669391309992,Higher long-trip risk
DOLocationID_148,0.3377993753427251,0.3377993753427251,Higher long-trip risk
DOLocationID_237,0.3294687541202848,0.3294687541202848,Higher long-trip risk
DOLocationID_211,0.32399994006299665,0.32399994006299665,Higher long-trip risk
PULocationID_50,0.3195719926197619,0.3195719926197619,Higher long-trip risk
DOLocationID_7,0.3195626415314304,0.3195626415314304,Higher long-trip risk
DOLocationID_142,0.3115105835342201,0.3115105835342201,Higher long-trip risk
PULocationID_144,0.2914387519574897,0.2914387519574897,Higher long-trip risk
PULocationID_116,-0.2890517764546996,0.2890517764546996,Lower long-trip risk
PULocationID_148,-0.28644135472672877,0.28644135472672877,Lower long-trip risk
DOLocationID_181,0.2860990810776193,0.2860990810776193,Higher long-trip risk
PULocationID_164,0.27919395219609977,0.27919395219609977,Higher long-trip risk
DOLocationID_66,-0.26850058298969554,0.26850058298969554,Lower long-trip risk
DOLocationID_164,0.2629576136904179,0.2629576136904179,Higher long-trip risk
is_weekend,-0.25803135967919294,0.25803135967919294,Lower long-trip risk
PULocationID_226,-0.2533448513897648,0.2533448513897648,Lower long-trip risk
PULocationID_237,0.25154342283928416,0.25154342283928416,Higher long-trip risk
PULocationID_114,0.2510895130743434,0.2510895130743434,Higher long-trip risk
PULocationID_158,0.24923477356669616,0.24923477356669616,Higher long-trip risk
DOLocationID_50,0.24644386081185593,0.24644386081185593,Higher long-trip risk
DOLocationID_256,-0.2460089245668316,0.2460089245668316,Lower long-trip risk
PULocationID_161,0.2451922460118191,0.2451922460118191,Higher long-trip risk
PULocationID_43,0.24402428895876238,0.24402428895876238,Higher long-trip risk
DOLocationID_140,0.22891938187976013,0.22891938187976013,Higher long-trip risk
PULocationID_261,0.2164848122507966,0.2164848122507966,Higher long-trip risk
DOLocationID_48,0.20804116109120874,0.20804116109120874,Higher long-trip risk
DOLocationID_162,0.20490174965933977,0.20490174965933977,Higher long-trip risk
PULocationID_230,0.2023337376917312,0.2023337376917312,Higher long-trip risk
PULocationID_79,-0.19260234460377768,0.19260234460377768,Lower long-trip risk
DOLocationID_114,0.17794103668569197,0.17794103668569197,Higher long-trip risk
PULocationID_166,-0.1771657980858028,0.1771657980858028,Lower long-trip risk
DOLocationID_263,-0.163083774072047,0.163083774072047,Lower long-trip risk
DOLocationID_234,0.16251654197503673,0.16251654197503673,Higher long-trip risk
PULocationID_138,-0.16203055730142205,0.16203055730142205,Lower long-trip risk
DOLocationID_229,-0.15963824950676567,0.15963824950676567,Lower long-trip risk
DOLocationID_125,-0.15848324223317137,0.15848324223317137,Lower long-trip risk
DOLocationID_25,-0.15723985962416823,0.15723985962416823,Lower long-trip risk
DOLocationID_261,0.15708101109751074,0.15708101109751074,Higher long-trip risk
PULocationID_229,-0.15071974577983224,0.15071974577983224,Lower long-trip risk
DOLocationID_24,-0.14971185828172343,0.14971185828172343,Lower long-trip risk
DOLocationID_223,-0.14386614030458783,0.14386614030458783,Lower long-trip risk
PULocationID_41,-0.1435959390186342,0.1435959390186342,Lower long-trip risk
DOLocationID_10,0.139303216487969,0.139303216487969,Higher long-trip risk
DOLocationID_75,-0.13119336113240976,0.13119336113240976,Lower long-trip risk
DOLocationID_90,-0.12674282166376352,0.12674282166376352,Lower long-trip risk
DOLocationID_249,0.12631604348635606,0.12631604348635606,Higher long-trip risk
DOLocationID_238,-0.12283270109595214,0.12283270109595214,Lower long-trip risk
DOLocationID_145,-0.12278362233976384,0.12278362233976384,Lower long-trip risk
pickup_hour,-0.1161805240840071,0.1161805240840071,Lower long-trip risk
DOLocationID_260,0.11371983977550737,0.11371983977550737,Higher long-trip risk
PULocationID_107,0.10700380362279735,0.10700380362279735,Higher long-trip risk
DOLocationID_137,-0.10693261331641624,0.10693261331641624,Lower long-trip risk
PULocationID_162,0.10607089445356355,0.10607089445356355,Higher long-trip risk
PULocationID_75,0.1051272599478377,0.1051272599478377,Higher long-trip risk
PULocationID_232,0.09831029405252968,0.09831029405252968,Higher long-trip risk
DOLocationID_141,0.09682289236232115,0.09682289236232115,Higher long-trip risk
PULocationID_4,-0.09677822687563283,0.09677822687563283,Lower long-trip risk
PULocationID_163,0.08477924190009026,0.08477924190009026,Higher long-trip risk
DOLocationID_112,0.08233433400304183,0.08233433400304183,Higher long-trip risk
DOLocationID_239,0.07987322215153868,0.07987322215153868,Higher long-trip risk
DOLocationID_129,0.07123119895181562,0.07123119895181562,Higher long-trip risk
DOLocationID_95,-0.06330547827103877,0.06330547827103877,Lower long-trip risk
DOLocationID_170,-0.06124266828134693,0.06124266828134693,Lower long-trip risk
DOLocationID_41,-0.05885131331048154,0.05885131331048154,Lower long-trip risk
DOLocationID_132,-0.05830741630272439,0.05830741630272439,Lower long-trip risk
DOLocationID_68,-0.056528388298062913,0.056528388298062913,Lower long-trip risk
DOLocationID_79,-0.05462716594496499,0.05462716594496499,Lower long-trip risk
passenger_count,0.053903849284644485,0.053903849284644485,Higher long-trip risk
DOLocationID_236,0.04951075330162239,0.04951075330162239,Higher long-trip risk
PULocationID_infrequent_sklearn,0.04532580579201323,0.04532580579201323,Higher long-trip risk
PULocationID_141,0.04259145340881547,0.04259145340881547,Higher long-trip risk
DOLocationID_107,0.03736387905004903,0.03736387905004903,Higher long-trip risk
PULocationID_137,0.036806199541841736,0.036806199541841736,Higher long-trip risk
DOLocationID_166,0.03634766487801677,0.03634766487801677,Higher long-trip risk
PULocationID_238,0.03126513976085853,0.03126513976085853,Higher long-trip risk
DOLocationID_246,0.02637419812371745,0.02637419812371745,Higher long-trip risk
DOLocationID_45,0.025114190127992583,0.025114190127992583,Higher long-trip risk
DOLocationID_158,0.02369413750043097,0.02369413750043097,Higher long-trip risk
PULocationID_239,0.023692565743457312,0.023692565743457312,Higher long-trip risk
pickup_dayofweek,0.010546550840129575,0.010546550840129575,Higher long-trip risk
PULocationID_142,0.008963766470200446,0.008963766470200446,Higher long-trip risk
DOLocationID_226,0.007971389058022133,0.007971389058022133,Higher long-trip risk
DOLocationID_151,0.006321378602618624,0.006321378602618624,Higher long-trip risk
DOLocationID_262,-0.003792292488620021,0.003792292488620021,Lower long-trip risk
DOLocationID_80,-0.0035043265052375227,0.0035043265052375227,Lower long-trip risk
DOLocationID_143,-0.0029655129324557285,0.0029655129324557285,Lower long-trip risk
PULocationID_140,-0.0024659326909737336,0.0024659326909737336,Lower long-trip risk
DOLocationID_231,-0.0020765231096720785,0.0020765231096720785,Lower long-trip risk
